year,Auto,Credit_Card,Mortgage,Student_Loan,Total_Debt,Income
2003,"2960","2960","23740","1060","33430",57875
2004,"3040","3040","26590","1440","37290",57674
2005,"3240","3060","29230","1610","40650",58291
2006,"3360","3170","33400","1970","45410",58746
2007,"3360","3490","37250","2250","50170",59534
2008,"3310","3670","38490","2670","52010",57412
2009,"3030","3370","36810","3010","49820",57010
2010,"2950","3050","35010","3370","47410",55520
2011,"3050","2950","34200","3620","47790",54673
2012,"3270","2850","33230","4000","47020",54569
2013,"3420","2710","31630","4250","45310",56479
2014,"3720","2730","31520","4490","45710",55613
2015,"4070","2800","31330","4660","46000",58476
2016,"4340","2930","31590","4920","46950",60309
2017,"4520","3100","32940","5130","48800",61372
