year,yield_diff
6/1/1976,0.801363636
7/1/1976,0.981904762
8/1/1976,1.137272727
9/1/1976,1.178095238
10/1/1976,1.427
11/1/1976,1.481052632
12/1/1976,1.492272727
1/1/1977,1.313809524
2/1/1977,1.302631579
3/1/1977,1.373478261
4/1/1977,1.407
5/1/1977,1.201904762
6/1/1977,1.148181818
7/1/1977,1.055263158
8/1/1977,0.785217391
9/1/1977,0.62952381
10/1/1977,0.4175
11/1/1977,0.434736842
12/1/1977,0.508571429
1/1/1978,0.47047619
2/1/1978,0.468333333
3/1/1978,0.460909091
4/1/1978,0.4105
5/1/1978,0.33952381
6/1/1978,0.222727273
7/1/1978,0.1505
8/1/1978,0.044347826
9/1/1978,-0.149
10/1/1978,-0.211428571
11/1/1978,-0.6195
12/1/1978,-0.709
1/1/1979,-0.760454545
2/1/1979,-0.618333333
3/1/1979,-0.672272727
4/1/1979,-0.5965
5/1/1979,-0.531428571
6/1/1979,-0.306666667
7/1/1979,-0.187619048
8/1/1979,-0.429130435
9/1/1979,-0.721578947
10/1/1979,-1.190454545
11/1/1979,-1.155263158
12/1/1979,-1.0045
1/1/1980,-0.695909091
2/1/1980,-1.003684211
3/1/1980,-2.135714286
4/1/1980,-1.028571429
5/1/1980,0.731428571
6/1/1980,1.05
7/1/1980,1.218181818
8/1/1980,0.574285714
9/1/1980,-0.066190476
10/1/1980,-0.336818182
11/1/1980,-0.829411765
12/1/1980,-1.232727273
1/1/1981,-0.693809524
2/1/1981,-0.724444444
3/1/1981,-0.452727273
4/1/1981,-0.471904762
5/1/1981,-1.3575
6/1/1981,-1.033636364
7/1/1981,-1.073181818
8/1/1981,-1.347619048
9/1/1981,-1.133809524
10/1/1981,-0.394761905
11/1/1981,0.511111111
12/1/1981,0.434090909
1/1/1982,0.026
2/1/1982,-0.397777778
3/1/1982,-0.333043478
4/1/1982,-0.33047619
5/1/1982,-0.1545
6/1/1982,-0.165909091
7/1/1982,0.149047619
8/1/1982,0.731363636
9/1/1982,0.555714286
10/1/1982,0.719
11/1/1982,0.754736842
12/1/1982,0.877727273
1/1/1983,1.12952381
2/1/1983,1.088421053
3/1/1983,0.850434783
4/1/1983,0.832
5/1/1983,0.890952381
6/1/1983,0.666818182
7/1/1983,0.692
8/1/1983,0.775652174
9/1/1983,0.863809524
10/1/1983,0.97
11/1/1983,1.025789474
12/1/1983,0.992857143
1/1/1984,1.031904762
2/1/1984,1.056842105
3/1/1984,1.004545455
4/1/1984,0.9475
5/1/1984,0.938636364
6/1/1984,0.656190476
7/1/1984,0.484761905
8/1/1984,0.28173913
9/1/1984,0.317894737
10/1/1984,0.560454545
11/1/1984,0.923684211
12/1/1984,1.318
1/1/1985,1.453333333
2/1/1985,1.343333333
3/1/1985,1.142380952
4/1/1985,1.345714286
5/1/1985,1.452727273
6/1/1985,1.468
7/1/1985,1.533636364
8/1/1985,1.388181818
9/1/1985,1.39
10/1/1985,1.372272727
11/1/1985,1.200526316
12/1/1985,1.112380952
1/1/1986,1.051428571
2/1/1986,0.736842105
3/1/1986,0.564
4/1/1986,0.604090909
5/1/1986,0.642380952
6/1/1986,0.614761905
7/1/1986,0.636818182
8/1/1986,0.83952381
9/1/1986,1.101428571
10/1/1986,1.147272727
11/1/1986,0.973888889
12/1/1986,0.840909091
1/1/1987,0.8585
2/1/1987,0.852631579
3/1/1987,0.824090909
4/1/1987,0.998571429
5/1/1987,0.8515
6/1/1987,0.829090909
7/1/1987,1.004545455
8/1/1987,1.007619048
9/1/1987,1.078095238
10/1/1987,1.122380952
11/1/1987,1.167894737
12/1/1987,1.13
1/1/1988,1.035789474
2/1/1988,1.0315
3/1/1988,1.103043478
4/1/1988,1.129
5/1/1988,1.093333333
6/1/1988,0.895454545
7/1/1988,0.777
8/1/1988,0.63173913
9/1/1988,0.513809524
10/1/1988,0.4415
11/1/1988,0.2965
12/1/1988,0.017142857
1/1/1989,-0.084
2/1/1989,-0.202631579
3/1/1989,-0.321818182
4/1/1989,-0.276
5/1/1989,-0.158636364
6/1/1989,-0.129090909
7/1/1989,0.199
8/1/1989,-0.032173913
9/1/1989,-0.094
10/1/1989,0.028571429
11/1/1989,0.078571429
12/1/1989,0.059
1/1/1990,0.121428571
2/1/1990,0.102631579
3/1/1990,-0.038181818
4/1/1990,0.0615
5/1/1990,0.115909091
6/1/1990,0.129047619
7/1/1990,0.314285714
8/1/1990,0.691304348
9/1/1990,0.813684211
10/1/1990,0.841818182
11/1/1990,0.7935
12/1/1990,0.761
1/1/1991,0.967619048
2/1/1991,0.987894737
3/1/1991,1.007
4/1/1991,1.090909091
5/1/1991,1.284090909
6/1/1991,1.328
7/1/1991,1.355
8/1/1991,1.466818182
9/1/1991,1.4685
10/1/1991,1.615
11/1/1991,1.858421053
12/1/1991,2.062857143
