year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2003,0.525867421,0.490014867,0.473851623,0.685818182,0.750148026,0.749527892,0.563075331,0.712351074,0.531362609,0.590765921,0.616765728,0.587700172,0.426109132,0.525162954,0.560942861,0.490455524,0.433362664,0.455742887,0.500591954,0.618702077,0.619938764,0.557023293,0.549441415,0.563947063,0.453923514,0.426290994,0.546631556,0.615977674,0.395258381,0.42756719,0.499865302,0.526449338,0.591872415,0.664424861,0.546644043,0.508384212,0.431129735,0.627539098,0.454141316,0.559461631,0.549893017,0.539363294,0.541758921,0.495349546,0.550475438,0.547456724,0.501219744,0.661698675,0.451163092,0.399789825,0.456072465
2004,0.565808577,0.553818388,0.47263299,0.735461702,0.901254041,0.834315236,0.658063616,0.884741265,0.614651159,0.66752636,0.731112612,0.642793686,0.470529878,0.579152586,0.632111041,0.540260778,0.507646519,0.524986508,0.510434471,0.7093037,0.665006394,0.570817446,0.654890761,0.605869619,0.522840047,0.441908301,0.645869649,0.634241394,0.443150859,0.494373343,0.575421791,0.620106526,0.575719893,0.749902293,0.607051856,0.564184967,0.447083479,0.720433535,0.496880337,0.610657644,0.596626468,0.571284314,0.584517848,0.512320576,0.586901992,0.690676246,0.50852688,0.706608771,0.494511959,0.435103075,0.488849755
2005,0.615561812,0.569044818,0.504054113,0.811333017,1.013021713,0.911955135,0.717062393,1.007524641,0.625581684,0.73447581,0.725756212,0.691021127,0.479234319,0.638290217,0.676048474,0.577175175,0.547445255,0.56130625,0.435190916,0.749379301,0.718010008,0.61049089,0.652121254,0.705972031,0.5670389,0.446743703,0.64685836,0.668203636,0.457721939,0.49800995,0.652422527,0.619803098,0.664204383,0.890867128,0.653290881,0.59475009,0.495482182,0.736987978,0.5243915,0.692202682,0.632741352,0.593045528,0.619554695,0.557943208,0.603740757,0.784881051,0.518965517,0.774240118,0.587198747,0.431113437,0.563552996
2006,0.675528279,0.638417468,0.543574528,0.976892234,1.143115646,0.914675466,0.736431051,1.104905047,0.728368018,0.862598574,0.743444354,0.789834326,0.520842213,0.702022264,0.768893609,0.596302922,0.556946521,0.575608337,0.581727418,0.846148143,0.814077864,0.662448092,0.66554225,0.759473346,0.604247957,0.519937636,0.667491716,0.786549286,0.522317948,0.543304134,0.677903266,0.660293196,0.716818694,1.011927181,0.738106581,0.624396697,0.533009401,0.801491471,0.560746082,0.719477188,0.708309171,0.629459045,0.657324327,0.585437942,0.694363087,0.838325074,0.569033826,0.820451308,0.563641847,0.458525542,0.604025675
2007,0.689687504,0.66442792,0.568367495,1.139267652,1.301056711,0.912754271,0.791928121,1.230518725,0.787208062,1.006577856,0.85277638,0.857188044,0.568283762,0.776963854,0.794819053,0.631590178,0.58266785,0.653591976,0.603925413,0.874754647,0.900336839,0.686727036,0.699526585,0.802232299,0.659354768,0.565841293,0.727511694,0.82063215,0.516212062,0.57362,0.677504745,0.844349621,0.749110693,1.150826479,0.828003517,0.626052586,0.544144637,0.863146226,0.635647842,0.785705392,0.726335878,0.669114573,0.742068287,0.632832539,0.836538462,0.920202524,0.699902074,0.90260627,0.627437429,0.470482109,0.687912202
2008,0.740908095,0.700143811,0.640548915,1.230203197,1.336079052,0.989562367,0.854611706,1.204488857,0.933519968,1.103797172,0.967210008,0.977141636,0.604773887,0.884499547,0.851431392,0.688778393,0.642351262,0.680109874,0.699384329,0.903188322,1.010658049,0.757671329,0.728917359,0.892210506,0.71635201,0.646440849,0.817556114,0.912708941,0.533321564,0.597785723,0.7435653,0.853558731,0.872180138,1.179878683,0.86001528,0.708271884,0.561688867,0.918237715,0.657280196,0.854603802,0.836797473,0.627929091,0.838390749,0.69204674,0.794395797,0.946639338,0.717445397,1.018968345,0.673044014,0.570763093,0.699466119
2009,0.753171285,0.746467492,0.668865152,1.149183927,1.266273662,1.022370701,0.831515739,1.249034717,0.879603257,1.004764547,0.966195254,1.071938495,0.589936479,0.858236118,0.812524772,0.689159096,0.672849751,0.636064098,0.602863457,0.883823529,0.968128086,0.735056246,0.733906639,0.835305106,0.651687405,0.656378345,0.850301211,0.909469736,0.527976844,0.603862608,0.739006127,0.838264433,0.806112013,1.109187207,0.846938953,0.696926444,0.553060292,0.931320245,0.690748931,0.844310668,0.828925286,0.702295894,0.79519007,0.663380722,0.80952381,0.935605842,0.682743658,0.925730478,0.654715245,0.515817394,0.70423004
2010,0.809015312,0.728317433,0.631828323,1.02802854,1.225597593,0.908260395,0.81453988,1.170371987,0.830881998,0.965961732,0.918381717,0.985779023,0.609484491,0.81773938,0.816012317,0.654214596,0.641934862,0.659857923,0.699638663,0.851066929,0.945725503,0.723821868,0.694284618,0.862411155,0.67450555,0.596799702,0.818946056,0.861210109,0.528632828,0.54110249,0.69462019,0.856836794,0.768096278,0.999167938,0.850790708,0.682578674,0.595902399,0.874346652,0.688331251,0.831785984,0.808820399,0.70255778,0.818748419,0.657966388,0.810193157,0.915212373,0.640641117,0.967130215,0.650261762,0.501265613,0.700149619
2011,0.772186001,0.739251935,0.640821031,0.98309106,1.240650518,0.974234853,0.861277501,1.310190555,0.874983251,0.953579475,0.914051298,1.031691888,0.660674895,0.847045661,0.862231061,0.725894494,0.695552117,0.724031791,0.725962621,0.863699462,0.925669928,0.750382284,0.691889867,0.825099753,0.729029161,0.602691502,0.898077011,0.877718822,0.529709886,0.589978271,0.74110617,0.906140312,0.862046406,1.038650163,0.885750963,0.743930446,0.574376027,0.898704714,0.715936606,0.92292468,0.89783706,0.740195033,0.789935255,0.671233644,0.864156795,0.923472819,0.765428612,0.986698016,0.66951567,0.563485114,0.699877391
2012,0.804054054,0.739298774,0.706361567,0.971581876,1.130841121,0.993272591,0.88314901,1.127828168,0.996525524,0.909921062,0.873484613,1.095528489,0.653394678,0.841803391,0.843332129,0.713359799,0.662615687,0.723371334,0.783619576,0.872400423,0.898774044,0.771761663,0.672361584,0.776271597,0.684025625,0.706266585,0.826922678,0.966341178,0.586430619,0.651262762,0.730207745,0.849500953,0.849767482,0.989353928,0.958823529,0.757821553,0.602765653,0.894366197,0.709139378,0.80591639,0.82727981,0.734448312,0.791928505,0.655539952,0.820152877,0.905803391,0.727645832,0.906835846,0.654865698,0.568625767,0.681762765
2013,0.706926571,0.669259764,0.699467508,0.84666294,1.021255345,0.836406818,0.807021387,1.239158939,0.873835792,0.804840381,0.865132243,0.955173178,0.565728255,0.818244103,0.782761653,0.659172006,0.690633494,0.652812718,0.665399628,0.894304009,0.916154804,0.683642641,0.57981953,0.744417239,0.7284239,0.794190993,0.866605174,0.850532351,0.582546073,0.579073022,0.712334034,0.861335159,0.88978647,0.82842294,0.899268964,0.649853241,0.623779673,0.943732332,0.662939709,0.787837952,0.828904957,0.656684074,0.778942301,0.65610985,0.782201915,0.884880591,0.62271911,0.861595547,0.677366104,0.573631457,0.579877328
2014,0.775090948,0.770424464,0.632087629,0.925171401,1.054982215,0.964187328,0.799928492,1.123828903,0.845871283,0.852745598,0.839920564,0.888512598,0.607997597,0.763897666,0.779191117,0.694812495,0.633293015,0.707166374,0.761967601,0.900479726,0.854804793,0.742420002,0.643772843,0.726870983,0.611466053,0.752661886,0.770697631,0.860383584,0.604346721,0.604302389,0.679478922,0.851793795,0.783665372,0.873989244,0.838870137,0.683328799,0.635527392,0.803152961,0.683920609,0.752167975,0.827409968,0.678887737,0.802251159,0.658500331,0.778153256,0.907579448,0.688630368,0.951455359,0.616299545,0.653022394,0.730236829
2015,0.721206428,0.742839772,0.677927826,0.881058084,0.998435673,0.902679012,0.759775647,1.099295182,0.851252531,0.803673938,0.826781397,1.003880092,0.590486778,0.808589508,0.707429449,0.656862381,0.63098929,0.728275988,0.727349258,0.851966844,0.880151288,0.761863051,0.629067632,0.718705178,0.596091365,0.691594651,0.758974745,0.796818813,0.665084335,0.588451519,0.66756919,0.788937903,0.813769171,0.859659555,0.781945116,0.648050771,0.655512215,0.787207677,0.629611254,0.814637447,0.810331888,0.675208425,0.755957608,0.657174151,0.760691989,0.982740734,0.70698702,0.838950773,0.657052679,0.62109278,0.706082046
2016,0.737417745,0.721023281,0.657226937,0.833047593,0.983840165,0.889101604,0.749136108,1.119876427,0.861975917,0.797865218,0.816964776,0.929645513,0.62966951,0.763759086,0.714445189,0.62565445,0.624827681,0.698888769,0.817112498,0.82321864,0.89626523,0.79518768,0.622781598,0.72286973,0.661399669,0.700998023,0.724503448,0.7800437,0.661374801,0.621918847,0.68690629,0.80669145,0.772836563,0.84188404,0.761018516,0.654625902,0.624915928,0.839141159,0.647294911,0.754005505,0.728222683,0.672573912,0.718235204,0.669068624,0.774821563,0.92766647,0.712205326,0.830107766,0.625992177,0.618875254,0.751273848
